anu	ins_chb_s	ins_chb_a	ins_tibet_s
10	437.81794426645	431.477693493987	476.213282372945
20	437.776416535588	431.518142923935	476.203795788667
30	437.734840328594	431.55865189026	476.194430653312
40	437.69321600867	431.59922011322	476.185187174651
50	437.651543939757	431.639847312466	476.176065559965
60	437.609824486304	431.680533206349	476.167066015103
70	437.568058013201	431.721277512179	476.158188747203
80	437.526244886187	431.762079946264	476.149433960907
90	437.484385471378	431.802940223687	476.140801861057
100	437.44248013563	431.843858058527	476.132292652166
110	437.400529246187	431.884833163831	476.12390653684
120	437.358533170957	431.925865251349	476.115643718578
130	437.316492278504	431.966954032142	476.107504399692
140	437.274406937783	432.008099215929	476.099488781399
150	437.232277518427	432.049300511215	476.091597064455
160	437.190104390629	432.090557625605	476.083829449759
170	437.147887924951	432.13187026574	476.076186136163
180	437.105628492803	432.173238136911	476.068667322807
190	437.063326465964	432.214660943358	476.061273208392
200	437.020982216657	432.256138388563	476.054003990452
210	436.978596117933	432.297670174411	476.04685986583
220	436.936168543085	432.339256002015	476.039841030985
230	436.893699866084	432.380895571432	476.032947681531
240	436.851190461479	432.422588581393	476.026180012403
250	436.808640704164	432.464334729806	476.019538218326
260	436.766050969775	432.506133713178	476.013022492821
270	436.723421634259	432.547985227246	476.006633028567
280	436.680753074212	432.589888966475	476.000370018123
290	436.638045666737	432.631844624156	475.994233653417
300	436.595299789318	432.673851892796	475.988224125607
310	436.552515820166	432.715910463513	475.982341624272
320	436.509694137701	432.75802002632	475.976586339904
330	436.466835121148	432.800180270523	475.970958460676
340	436.423939149942	432.842390883631	475.965458175244
350	436.381006604222	432.884651552809	475.960085671578
360	436.338037864512	432.926961963573	475.95484113634
370	436.295033311889	432.969321800718	475.949724755692
380	436.251993327747	433.011730747717	475.944736714779
390	436.208918294163	433.05418848693	475.939877198998
400	436.165808593583	433.096694699773	475.935146393016
410	436.122664608871	433.139249066521	475.930544478776
420	436.07948672347	433.18185126624	475.926071640038
430	436.036275321192	433.224500976889	475.921728058587
440	435.993030786348	433.267197875484	475.917513916108
450	435.949753503681	433.309941637931	475.913429392457
460	435.906443858502	433.352731938867	475.909474668442
470	435.863102236345	433.39556845207	475.905649922408
480	435.81972902331	433.438450849846	475.901955333575
490	435.776324606005	433.481378803743	475.898391078817
500	435.732889371394	433.524351984178	475.894957336379
510	435.689423706882	433.567370060138	475.891654282321
520	435.645928000263	433.610432700019	475.888482091337
530	435.60240263983	433.653539570689	475.885440938921
540	435.558848014252	433.696690338115	475.882530999318
550	435.515264512634	433.739884667115	475.879752445934
560	435.471652524514	433.783122221356	475.877105451127
570	435.428012439787	433.826402663592	475.874590186942
580	435.384344648834	433.869725655164	475.872206824541
590	435.340649542301	433.913090856515	475.869955535408
600	435.296927511432	433.956497927237	475.867836487462
610	435.253178947731	433.999946525155	475.865849850846
620	435.209404243011	434.043436307633	475.863995794273
630	435.165603789716	434.086966930464	475.862274483806
