NEW_depth_cm;ruberAge_ka;<2um_g;2-6,3um_g;6,3-20um_g;20-63um_g;>63um_g;Silikat_g;<2um_perc;2-6,3um_perc;6,3-20um_perc;20-63um_perc;> 63um_perc;Md_z;Md_um
6.5;0.8;1.2345;0.8025;0.7265;1.1899;0.1774;4.1308;29.88525225;19.42722959;17.58739227;28.80555825;4.294567638;2.49;6.47
15.5;1.61;2.08;0.7756;1.0031;1.417;0.1708;5.4465;38.19;14.24;18.42;26.02;3.14;2.51;6.18
35;5.14;2.1696;0.7256;0.9535;0.9789;0.056;4.8836;44.43;14.86;19.52;20.04;1.15;2.75;3.55
53.5;8.2;1.43;0.5329;0.6694;0.7983;0.091;3.5216;40.61;15.13;19.01;22.67;2.58;2.65;4.48
72;11.41;1.5164;0.7357;0.9881;1.8262;0.0806;5.147;29.46;14.29;19.2;35.48;1.57;2.25;11.25
90.5;14.79;2.0299;0.9538;1.5531;2.3865;0.2497;7.173;28.3;13.3;21.65;33.27;3.48;2.2;12.62
110;18;1.6232;0.8;1.2504;2.7701;0.1591;6.6028;24.58;12.12;18.94;41.95;2.41;2.11;15.52
126.5;18.83;1.3225;1.2008;1.7653;2.5148;0.1285;6.9319;19.08;17.32;25.47;36.28;1.85;2.15;14.16
145;19.87;1.5956;0.8753;1.27;2.3707;0.2225;6.3341;25.19;13.82;20.05;37.43;3.51;2.13;14.83
165;20.86;1.7552;1.1155;2.2247;2.7619;0.1544;8.0117;21.91;13.92;27.77;34.47;1.93;2.15;14.16
186.5;22;2.3396;0.9646;2.2333;3.4101;0.2461;9.1937;25.45;10.49;24.29;37.09;2.68;2.13;14.83
205.5;26.83;2.0536;0.8928;1.5635;3.1615;0.1564;7.8278;26.23;11.41;19.97;40.39;2;2.1;15.89
224.5;31.65;2.1227;0.9924;1.4686;3.1365;0.1289;7.8491;27.04;12.64;18.71;39.96;1.64;2.14;14.49
242;36.22;1.866;0.7117;1.0727;2.3748;0.0933;6.1185;30.5;11.63;17.53;38.81;1.52;2.17;13.52
262;41.3;1.9188;0.8464;1.6396;3.476;0.1723;8.0531;23.83;10.51;20.36;43.16;2.14;2.06;17.42
282;46.63;1.9147;0.9338;1.5911;3.2611;0.1539;7.8546;24.38;11.89;20.26;41.52;1.96;2.1;15.89
301.5;51.71;1.9891;0.8657;1.2699;3.1007;0.1557;7.3811;26.95;11.73;17.2;42.01;2.11;2.1;15.89
321.5;55.3;1.6298;0.7471;1.4987;3.3016;0.2402;7.4174;21.97;10.07;20.21;44.51;3.24;2.04;18.24
341;57.9;2.1443;0.9847;1.3378;1.802;0.065;6.3338;33.85;15.55;21.12;28.45;1.03;2.03;18.67
361;60.49;2.4402;1.1691;1.7244;2.8857;0.1335;8.3529;29.21;14;20.64;34.55;1.6;2.24;11.51
379;62.83;2.1878;1.0002;1.591;3.8932;0.1425;8.8147;24.82;11.35;18.05;44.17;1.62;2.06;17.42
400;68;2.6459;1.1568;1.8093;3.7395;0.1348;9.4863;27.89;12.19;19.07;39.42;1.42;2.15;14.16
416;73.33;2.5365;1.11;1.797;3.3885;0.1578;8.9898;28.22;12.35;19.99;37.69;1.76;2.2;12.62
436;80;2.4288;0.8996;1.0983;1.4157;0.0551;5.8975;41.18;15.25;18.62;24.01;0.93;2.26;10.99
445.5;85.88;1.9273;0.7427;0.9468;1.2285;0.0795;4.9248;39.13;15.08;19.23;24.95;1.61;2.16;13.84
460.5;91.86;2.3087;0.9755;1.4229;2.1127;0.0855;6.9053;33.43;14.13;20.61;30.6;1.24;2.39;8.15
476;95.81;1.6345;0.7083;0.9991;1.9434;0.094;5.3793;30.38;13.17;18.57;36.13;1.75;2.24;11.51
497;100.93;1.9725;0.839;1.0802;1.8649;0.0875;5.8441;33.75;14.36;18.48;31.91;1.5;2.41;7.78
503;102.56;2.1868;0.7761;1.004;1.2261;0.0754;5.2684;41.51;14.73;19.06;23.27;1.43;2.78;3.32
519;106.51;2.0328;0.7349;0.8724;1.0663;0.049;4.7554;42.75;15.45;18.35;22.42;1.03;2.79;3.24
538;110.92;2.1297;0.7346;1.0289;2.1891;0.1455;6.2278;34.2;11.8;16.52;35.15;2.34;2.31;9.8
556;115.08;2.5412;0.8751;1.0611;1.8063;0.0732;6.3569;39.98;13.77;16.69;28.41;1.15;2.68;4.18
574;119.69;1.8349;0.6714;0.6749;0.704;0.0738;3.959;46.35;16.96;17.05;17.78;1.86;2.95;2.24
595;126.8;1.9197;0.7402;1.0529;1.8689;0.0715;5.6532;33.96;13.09;18.62;33.06;1.26;2.35;8.93
610;134;1.7314;0.6722;0.9769;1.6201;0.0644;5.065;34.18;13.27;19.29;31.99;1.27;2.34;9.14
633.5;142.56;1.4686;0.602;0.8937;2.2826;0.1869;5.4338;27.03;11.08;16.45;42.01;3.44;2.06;17.42
653;150;1.8664;0.7617;1.1545;2.4912;0.1015;6.3753;29.28;11.95;18.11;39.08;1.59;2.13;14.83
674;154.29;1.7209;0.7125;1.0514;1.6722;0.0835;5.2405;32.84;13.6;20.06;31.91;1.59;2.31;9.8
691;157.61;2.0931;0.9022;1.3643;2.7201;0.0871;7.1668;29.21;12.59;19.04;37.95;1.22;2.18;13.21
