Age (ka)	LOG(Ca/K+Ti+Fe)
0.47376	1.455169394
1.19376	1.423392217
1.91376	1.505463643
2.63376	1.470408981
3.35376	1.455858076
4.07376	1.4676823
4.79376	1.455014524
5.51376	1.599877537
6.23376	1.439270891
6.95376	1.433781904
7.67376	1.432894873
8.39376	1.391920955
9.11376	1.388885637
9.83376	1.437820381
10.55376	1.37120214
11.27376	1.463726466
11.99376	1.358796959
12.71376	1.368303012
13.43376	1.362654552
14.15376	1.368804726
14.87376	1.375316758
15.59376	1.312335759
16.31376	1.358940211
17.03376	1.361837582
17.75376	1.461928442
18.64457143	1.316191539
19.62416327	1.415636641
20.6037551	1.3357476
21.58334694	1.378567998
22.56293878	1.336513221
23.54253061	1.377671179
24.52212245	1.318226836
25.50171429	1.295795804
26.48130612	1.311325069
27.46089796	1.298389603
28.4404898	1.263007697
29.42008163	1.327278631
30.39967347	1.379076402
31.37926531	1.335124896
32.35885714	1.37305424
33.33844898	1.39079247
34.31804082	1.425763975
35.29763265	1.513031504
36.27722449	1.476728074
37.25681633	1.470095216
38.23640816	1.349367205
39.216	1.521035954
40.19559184	1.455087351
41.17518367	1.464321815
42.15477551	1.412459503
43.13436735	1.415397692
44.11395918	1.460429194
45.09355102	1.448039972
46.07314286	1.424962309
47.05273469	1.485757213
48.03232653	1.468991542
49.01191837	1.439932513
49.9915102	1.516843507
50.97110204	1.532745686
51.95069388	1.348522543
52.93028571	1.364703217
53.90987755	1.45121623
54.88946939	1.434380663
55.86906122	1.524496334
56.84865306	1.389755243
57.8282449	1.361169267
58.80783673	1.344516987
59.78742857	1.303596881
60.76702041	1.358805081
61.74661224	1.356188754
62.72620408	1.231356814
63.70579592	1.403954775
64.68538776	1.276530077
65.66497959	1.218141775
66.64068421	1.218116367
67.61436842	1.259151636
68.58805263	1.232994177
69.56173684	1.303630805
70.53542105	1.290962562
71.50910526	1.309042496
72.48278947	1.388433321
73.45647368	1.345505305
74.43015789	1.404245088
75.40384211	1.451037806
76.37752632	1.419055163
77.35121053	1.379069953
78.32489474	1.492164278
79.29857895	1.405697045
80.27226316	1.454914157
81.24594737	1.456078171
82.21963158	1.408698948
83.19331579	1.481040999
84.167	1.457945066
85.14068421	1.394694781
86.11436842	1.486582909
87.08805263	1.37538561
88.06173684	1.393851243
89.03542105	1.391642772
90.00910526	1.438614497
90.98278947	1.399251284
91.95647368	1.451208896
92.93015789	1.489290565
93.90384211	1.5688389
94.87752632	1.521428114
95.85121053	1.543666844
96.82489474	1.578570377
97.79857895	1.462875314
98.77226316	1.513308045
99.74594737	1.484149252
100.7196316	1.488609544
101.6933158	1.545414137
102.667	1.515844878
103.6406842	1.320088321
104.6143684	1.439265478
105.5880526	1.410342544
106.5617368	1.455218572
107.5354211	1.421595359
108.5091053	1.355912974
109.4827895	1.37853234
110.4564737	1.410127603
111.4301579	1.377157887
112.4038421	1.435236626
113.3775263	1.389153887
114.3512105	1.390707614
115.3248947	1.397747065
116.2985789	1.406217368
117.2722632	1.414889666
118.2459474	1.393769316
119.2196316	1.411607212
120.1933158	1.445807533
121.167	1.353483628
122.1406842	1.400166913
123.1143684	1.32175078
124.0880526	1.353328059
125.0617368	1.308340386
126.0354211	1.261637381
127.0091053	1.217164355
127.9827895	1.16094194
128.9564737	1.184845884
129.9301579	1.212229929
130.9038421	1.021901636
131.8775263	0.957926542
132.8512105	1.221676507
133.8248947	1.272407124
134.7985789	1.249406399
135.7722632	1.303780259
136.7459474	1.239815799
137.7196316	1.255349241
138.6933158	1.243069938
139.667	1.28852115
140.752	1.325892505
141.8948571	1.227667074
143.0377143	1.312920456
144.1805714	1.270180565
145.3234286	1.235273116
146.4662857	1.248660005
147.6091429	1.326632674
148.752	1.163904147
149.8948571	1.211575949
151.0377143	1.341702625
152.1805714	1.186145684
153.3234286	1.239820418
154.4662857	1.188974681
155.6091429	1.321175385
156.752	1.147197708
157.8948571	1.187013986
159.0377143	1.279285196
160.1805714	1.223254185
161.3234286	1.115198772
162.4662857	1.237459302
163.6091429	1.163382971
164.752	1.29747924
165.8948571	1.26242486
167.0377143	1.262329307
168.1805714	1.255344102
169.3234286	1.29602596
170.4662857	1.319729018
171.6091429	1.253342218
172.752	1.458455594
173.8948571	1.371066966
175.0377143	1.398605784
176.1805714	1.373063575
177.3234286	1.377959358
178.4662857	1.296230548
179.6091429	1.291683748
180.752	1.285069424
181.8948571	1.285942066
183.0377143	1.252147639
184.1805714	1.184239232
185.3234286	1.227742291
186.4662857	1.265401839
187.6091429	1.295823764
188.560918	1.25666477
189.413377	1.323952692
190.2658361	1.287533118
191.1182951	1.366696475
191.9707541	1.233416733
192.8232131	1.335134649
193.6756721	1.414447713
194.5281311	1.341428276
195.3805902	1.323905328
196.2330492	1.381349785
197.0855082	1.337807024
197.9379672	1.424577466
198.7904262	1.358806555
199.6428852	1.433485491
200.4953443	1.489588139
201.3478033	1.519661341
202.2002623	1.542660077
203.0527213	1.53567266
203.9051803	1.537530878
204.7576393	1.588508443
205.6100984	1.568994153
206.4625574	1.508851024
207.3150164	1.586072661
208.1674754	1.635704738
209.0199344	1.586796418
209.8723934	1.615499566
210.7248525	1.615109537
211.5773115	1.595389317
212.4297705	1.550675361
213.2822295	1.571818091
214.1346885	1.568195168
214.9871475	1.565544995
215.8396066	1.513810261
216.6920656	1.537347629
217.5445246	1.460879431
218.3969836	1.451111662
219.2494426	1.398399886
220.1019016	1.372685566
220.9543607	1.342134459
221.8068197	1.292874859
222.6592787	1.309613598
223.5117377	1.422588777
224.3641967	1.44130017
225.2166557	1.327191003
226.0691148	1.381309011
226.9215738	1.355176925
227.7740328	1.29070773
228.6264918	1.356576877
229.4789508	1.357325526
230.3314098	1.391240237
231.1838689	1.44293026
232.0363279	1.439665353
232.8887869	1.419994623
233.7412459	1.462029582
234.5937049	1.54344936
235.4461639	1.500792138
236.298623	1.512794916
237.151082	1.520517115
238.003541	1.535360658
238.856	1.601413555
239.708459	1.406484096
240.658	1.486535262
241.658	1.444348002
242.658	1.48744963
243.658	1.44898329
244.658	1.624953233
245.658	1.338064935
246.658	1.438431148
247.658	1.435696915
248.658	1.47921058
249.658	1.447258478
250.658	1.454477971
251.658	1.428310145
252.4935	1.425340578
253.2435	1.484949082
253.9935	1.483144598
254.7435	1.474354243
255.4935	1.462739194
