Age Ti/Ca_kaBP	KL09_TiCa	Age Hem_kaBP	KL09_Hem	Age MGSQ_kaBP	MGSG		time_kyr	Sanbao sim	MGSQ sim
0.0228419	0.009	0.761398	0.389	0.0660882	0.532781		0	0.6	0.553046739
0.030456	0.011	0.913677	0.412	0.177817	0.539619		0.125	0.588	0.547514431
0.0380699	0.01	1.06596	0.428	0.305509	0.547434		0.25	0.629	0.542297299
0.0456838	0.015	1.21823	0.441	0.417239	0.554272		0.375	0.39	0.542015715
0.0532979	0.012	1.37052	0.452	0.54493	0.562087		0.5	0.355	0.548138988
0.0609118	0.013	1.5228	0.461	0.64868	0.568436		0.625	0.569	0.555210692
0.0685258	0.01	1.67507	0.467	0.728487	0.573321		0.75	0.157	0.558085082
0.0761398	0.008	1.82735	0.466	0.808294	0.578205		0.875	0.256	0.558889635
0.0837538	0.01	3.19787	0.426	0.893226	0.583403		1	0.276	0.562498756
0.0913677	0.009	3.35015	0.444	0.973367	0.586358		1.125	0.382	0.568572713
0.0989817	0.009	3.50244	0.449	1.0304	0.584976		1.25	0.278	0.573934796
0.106596	0.012	3.65471	0.445	1.07317	0.583939		1.375	0.384	0.579189049
0.11421	0.012	3.80699	0.435	1.12165	0.582764		1.5	0.324	0.585737997
0.121823	0.012	3.95927	0.424	1.15017	0.582072		1.625	0.356	0.58964271
0.129437	0.014	4.11155	0.414	1.19009	0.581105		1.75	0.171	0.584206457
0.137052	0.014	4.26383	0.406	1.22241	0.580321		1.875	0.344	0.567493422
0.144666	0.011	4.41611	0.401	1.25093	0.57963		2	-0.027	0.545909984
0.15228	0.014	4.56838	0.396	1.27469	0.579054		2.125	0.05	0.529316158
0.159894	0.012	4.72067	0.391	1.30701	0.57827		2.25	0.291	0.521732328
0.167507	0.015	4.87295	0.387	1.36404	0.576888		2.375	0.226	0.5193999
0.175121	0.02	5.02522	0.382	1.42013	0.575528		2.5	-0.214	0.518322625
0.182735	0.011	5.17751	0.378	1.47716	0.574145		2.625	0.333	0.520236147
0.19035	0.011	5.32979	0.372	1.52849	0.572901		2.75	-0.032	0.52958772
0.197964	0.012	5.48206	0.367	1.56651	0.571979		2.875	0.502	0.546259529
0.205578	0.01	5.63434	0.361	1.62355	0.570597		3	0.146	0.563108118
