Depth sed [m]	Age [ka BP]	Ti/terr	K/terr	Terr/Ca
0.002	1.360	0.485	0.369	0.166
0.004	1.380	0.484	0.371	0.219
0.006	1.400	0.473	0.372	0.263
0.008	1.420	0.495	0.364	0.274
0.010	1.440	0.504	0.357	0.265
0.012	1.460	0.511	0.353	0.250
0.014	1.480	0.487	0.369	0.206
0.016	1.500	0.482	0.383	0.167
0.018	1.520	0.472	0.385	0.164
0.020	1.540	0.477	0.382	0.142
0.022	1.558	0.470	0.384	0.144
0.024	1.576	0.479	0.383	0.163
0.026	1.594	0.477	0.380	0.166
0.028	1.612	0.480	0.379	0.163
0.030	1.630	0.474	0.379	0.151
0.032	1.648	0.480	0.375	0.145
0.034	1.666	0.466	0.392	0.137
0.036	1.684	0.478	0.385	0.145
0.038	1.702	0.478	0.388	0.135
0.040	1.720	0.468	0.397	0.129
0.042	1.740	0.470	0.395	0.127
0.044	1.760	0.465	0.386	0.133
0.046	1.780	0.479	0.387	0.134
0.048	1.800	0.474	0.391	0.137
0.050	1.820	0.478	0.391	0.135
0.052	1.838	0.475	0.391	0.151
0.054	1.856	0.468	0.391	0.133
0.056	1.874	0.472	0.390	0.147
0.058	1.892	0.474	0.383	0.143
0.060	1.910	0.475	0.390	0.143
0.062	1.928	0.462	0.398	0.133
0.064	1.946	0.451	0.401	0.114
0.066	1.964	0.475	0.391	0.114
0.068	1.982	0.456	0.395	0.119
0.070	2.000	0.457	0.402	0.118
0.072	2.020	0.458	0.398	0.113
0.074	2.040	0.474	0.384	0.134
0.076	2.060	0.469	0.390	0.127
0.078	2.080	0.465	0.390	0.121
0.080	2.100	0.458	0.393	0.113
0.082	2.118	0.462	0.396	0.115
0.084	2.136	0.465	0.390	0.130
0.086	2.154	0.453	0.404	0.117
0.088	2.172	0.451	0.405	0.119
0.090	2.190	0.443	0.409	0.116
0.092	2.208	0.466	0.398	0.109
0.094	2.226	0.451	0.408	0.103
0.096	2.244	0.450	0.408	0.107
0.098	2.262	0.442	0.405	0.111
0.100	2.280	0.452	0.407	0.111
0.102	2.300	0.453	0.403	0.115
0.104	2.320	0.463	0.391	0.122
0.106	2.340	0.457	0.402	0.116
0.108	2.360	0.447	0.400	0.119
0.110	2.380	0.467	0.384	0.118
0.112	2.398	0.451	0.403	0.125
0.114	2.416	0.454	0.399	0.123
0.116	2.434	0.455	0.401	0.126
0.118	2.452	0.455	0.398	0.132
0.120	2.470	0.466	0.395	0.132
0.122	2.488	0.454	0.404	0.117
0.124	2.506	0.447	0.406	0.115
0.126	2.524	0.447	0.408	0.111
0.128	2.542	0.450	0.409	0.112
0.130	2.560	0.443	0.408	0.116
0.132	2.580	0.439	0.417	0.101
0.134	2.600	0.445	0.412	0.109
0.136	2.620	0.443	0.411	0.112
0.138	2.640	0.444	0.405	0.105
0.140	2.660	0.447	0.400	0.111
0.142	2.678	0.440	0.415	0.105
0.144	2.696	0.448	0.410	0.112
0.146	2.714	0.446	0.408	0.116
0.148	2.732	0.441	0.410	0.113
0.150	2.750	0.441	0.413	0.109
0.152	2.768	0.445	0.414	0.113
0.154	2.786	0.442	0.410	0.110
0.156	2.804	0.448	0.406	0.109
0.158	2.822	0.448	0.404	0.105
0.160	2.840	0.443	0.418	0.114
0.162	2.860	0.436	0.414	0.111
0.164	2.880	0.439	0.415	0.107
0.166	2.900	0.443	0.415	0.109
0.168	2.920	0.427	0.425	0.096
0.170	2.940	0.428	0.421	0.090
0.172	2.958	0.442	0.415	0.103
0.174	2.976	0.450	0.412	0.114
0.176	2.994	0.442	0.414	0.113
0.178	3.012	0.432	0.416	0.110
0.180	3.030	0.443	0.403	0.115
0.182	3.048	0.440	0.415	0.119
0.184	3.066	0.451	0.410	0.099
0.186	3.084	0.444	0.415	0.102
0.188	3.102	0.438	0.421	0.104
0.190	3.120	0.431	0.422	0.101
0.192	3.140	0.440	0.414	0.103
0.194	3.160	0.430	0.421	0.111
0.196	3.180	0.443	0.409	0.106
0.198	3.200	0.442	0.408	0.111
0.200	3.220	0.452	0.408	0.106
0.202	3.238	0.437	0.410	0.112
0.204	3.256	0.443	0.407	0.111
0.206	3.274	0.442	0.406	0.114
0.208	3.292	0.441	0.413	0.112
0.210	3.310	0.429	0.424	0.103
0.212	3.328	0.433	0.419	0.109
0.214	3.346	0.443	0.404	0.110
0.216	3.364	0.432	0.415	0.100
0.218	3.382	0.427	0.418	0.106
0.220	3.400	0.424	0.424	0.098
0.222	3.420	0.431	0.421	0.108
0.224	3.440	0.422	0.434	0.099
0.226	3.460	0.428	0.428	0.104
0.228	3.480	0.427	0.429	0.109
0.230	3.500	0.422	0.424	0.110
0.232	3.518	0.435	0.422	0.105
0.234	3.536	0.443	0.417	0.114
0.236	3.554	0.437	0.416	0.118
0.238	3.572	0.437	0.421	0.105
0.240	3.590	0.439	0.418	0.105
0.242	3.608	0.439	0.412	0.108
0.244	3.626	0.436	0.414	0.104
0.246	3.644	0.435	0.424	0.101
0.248	3.662	0.431	0.420	0.098
0.250	3.680	0.434	0.420	0.089
0.252	3.700	0.417	0.435	0.086
0.254	3.720	0.430	0.431	0.092
0.256	3.740	0.434	0.419	0.096
0.258	3.760	0.400	0.446	0.092
0.260	3.780	0.422	0.437	0.099
0.262	3.798	0.425	0.434	0.095
0.264	3.816	0.432	0.425	0.101
0.266	3.834	0.434	0.422	0.101
0.268	3.852	0.432	0.419	0.094
0.270	3.870	0.416	0.430	0.091
0.272	3.888	0.432	0.419	0.094
0.274	3.906	0.433	0.421	0.094
0.276	3.924	0.428	0.427	0.089
0.278	3.942	0.425	0.427	0.088
0.280	3.960	0.438	0.417	0.098
0.282	3.980	0.425	0.434	0.101
0.284	4.000	0.433	0.432	0.097
0.286	4.020	0.442	0.421	0.102
0.288	4.040	0.433	0.410	0.098
0.290	4.060	0.423	0.428	0.079
0.292	4.078	0.410	0.446	0.073
0.294	4.096	0.411	0.444	0.073
0.296	4.114	0.427	0.430	0.081
0.298	4.132	0.427	0.427	0.080
0.300	4.150	0.427	0.428	0.082
0.302	4.168	0.425	0.431	0.072
0.304	4.186	0.417	0.439	0.070
0.306	4.204	0.406	0.440	0.063
0.308	4.222	0.409	0.444	0.069
0.310	4.240	0.421	0.437	0.070
0.312	4.260	0.418	0.430	0.072
0.314	4.280	0.424	0.438	0.072
0.316	4.300	0.428	0.426	0.068
0.318	4.320	0.405	0.435	0.064
0.320	4.340	0.414	0.443	0.063
0.322	4.358	0.431	0.422	0.067
0.324	4.376	0.417	0.436	0.064
0.326	4.394	0.417	0.439	0.068
0.328	4.412	0.413	0.435	0.074
0.330	4.430	0.419	0.432	0.065
0.332	4.448	0.411	0.444	0.061
0.334	4.466	0.400	0.449	0.053
0.336	4.484	0.396	0.450	0.052
0.338	4.502	0.415	0.443	0.059
0.340	4.520	0.419	0.444	0.056
0.342	4.540	0.400	0.447	0.054
0.344	4.560	0.413	0.441	0.052
0.346	4.580	0.391	0.455	0.045
0.348	4.600	0.395	0.458	0.046
0.350	4.620	0.403	0.457	0.050
0.352	4.638	0.406	0.449	0.059
0.354	4.656	0.395	0.455	0.058
0.356	4.674	0.420	0.438	0.050
0.358	4.692	0.385	0.455	0.044
0.360	4.710	0.399	0.453	0.041
0.362	4.728	0.415	0.442	0.043
0.364	4.746	0.363	0.463	0.032
0.366	4.764	0.379	0.478	0.033
0.368	4.782	0.368	0.460	0.036
0.370	4.800	0.368	0.479	0.032
0.372	4.820	0.361	0.484	0.030
0.374	4.840	0.350	0.486	0.029
0.376	4.860	0.352	0.478	0.026
