depth	min95%	max95%	best	accrate
0	1691	2286	1787	230.42
1	1910	2468	2017	230.19
2	2099	2649	2248	229.12
3	2271	2833	2477	227.11
4	2442	3019	2704	224.15
5	2620	3209	2928	220.25
6	2798	3396	3148	215.4
7	2974	3579	3364	209.61
8	3148	3748	3573	202.87
9	3319	3913	3776	195.19
10	3487	4090	3971	186.79
11	3651	4279	4158	178.6
12	3811	4463	4337	170.85
13	3968	4643	4508	163.53
14	4122	4816	4671	156.64
15	4273	4984	4828	150.19
16	4421	5141	4978	144.18
17	4566	5292	5122	138.6
18	4709	5437	5261	133.46
19	4852	5575	5394	128.75
20	4992	5714	5523	124.48
21	5130	5847	5647	120.65
22	5266	5973	5768	117.25
23	5403	6099	5885	114.28
24	5542	6215	6000	111.75
25	5676	6332	6111	109.66
26	5809	6452	6221	108
27	5942	6571	6329	106.78
28	6074	6683	6436	106
29	6207	6798	6542	105.65
30	6342	6907	6647	105.73
31	6475	7014	6753	106.25
32	6611	7122	6859	107.21
33	6744	7229	6967	108.6
34	6878	7336	7075	110.43
35	7017	7450	7186	112.69
36	7156	7571	7298	115.39
37	7295	7691	7414	118.53
38	7436	7808	7532	122.1
39	7575	7928	7654	126.1
40	7710	8047	7780	130.43
41	7842	8168	7911	134.66
42	7973	8294	8046	138.66
43	8104	8427	8184	142.43
44	8242	8563	8327	145.99
45	8379	8702	8473	149.33
46	8519	8843	8622	152.45
47	8663	8987	8774	155.34
48	8809	9131	8930	158.02
49	8960	9274	9088	160.47
50	9114	9421	9248	162.71
51	9270	9574	9411	164.72
52	9429	9727	9576	166.51
53	9589	9882	9742	168.08
54	9749	10042	9910	169.43
55	9914	10208	10080	170.56
56	10077	10372	10250	171.47
57	10239	10530	10422	172.16
58	10405	10693	10594	172.62
59	10576	10868	10767	172.87
60	10738	11045	10939	172.93
61	10910	11222	11112	172.95
62	11084	11396	11285	172.96
63	11256	11576	11458	172.96
64	11428	11759	11631	172.96
65	11601	11943	11804	172.94
66	11772	12128	11977	172.92
67	11943	12313	12150	172.9
68	12118	12499	12323	172.86
69	12292	12685	12496	172.82
70	12469	12870	12669	172.77
71	12639	13054	12841	172.71
72	12814	13240	13014	172.65
73	12989	13425	13187	172.58
74	13164	13608	13359	172.5
75	13336	13792	13532	172.41
76	13508	13974	13704	172.32
77	13684	14154	13877	172.22
78	13857	14336	14049	172.11
79	14028	14514	14221	171.99
80	14201	14693	14393	171.87
81	14379	14872	14565	171.73
82	14553	15050	14736	171.59
83	14718	15223	14908	171.45
84	14885	15396	15079	171.29
85	15057	15568	15251	171.13
86	15226	15737	15422	170.96
87	15396	15899	15593	170.79
88	15562	16061	15764	170.6
89	15728	16220	15934	170.41
90	15896	16380	16105	169.98
91	16065	16542	16275	168.41
