 User_ID 	Br_Area 	Br_ DArea	Rb_Area 	Rb_ DArea	Sr_Area 	Sr_ DArea	Zr_Area 	Zr_ DArea	Ru_Area 	Ru_ DArea	Rh_Area 	Rh_ DArea	Mg_Area 	Mg_ DArea	Al_Area 	Al_ DArea	Si_Area 	Si_ DArea	S_Area 	S_ DArea	K_Area 	K_ DArea	Ca_Area 	Ca_ DArea	Ti_Area 	Ti_ DArea	Fe_Area 	Fe_ DArea
1	2086	50	913	48	19503	149	2738	153	15747	251	14918	250	62	12	699	31	7479	89	874	47	5137	94	137111	377	2239	74	22232	171
2	2341	53	1003	48	18571	145	2612	150	14849	248	14234	247	42	12	562	28	6465	83	745	46	4886	94	131818	370	2299	74	21261	167
3	2231	51	757	47	17314	141	2439	174	14501	256	13197	246	42	12	548	28	5847	80	666	44	4370	90	122343	357	1922	70	19516	160
4	2378	53	956	48	18431	144	2670	167	13716	247	15075	248	88	13	896	34	8891	97	865	47	5755	98	143200	385	2552	75	22558	171
5	2970	58	936	50	20780	153	2890	156	15411	257	14985	254	112	14	1004	35	10016	103	942	50	6183	103	160632	408	2816	80	26601	185
6	2919	57	988	50	21731	156	2608	110	16097	246	15696	254	109	14	1335	40	13562	119	1161	54	7657	112	195474	450	3161	83	30996	198
7	2668	55	1019	50	21681	156	2943	110	15123	242	14941	252	110	14	826	33	8577	96	1122	52	6423	105	168030	417	2783	82	26990	188
8	2866	57	1025	50	21847	157	3059	181	15562	264	15747	259	143	16	1425	42	14958	125	1164	54	8040	113	203601	458	3519	84	28903	191
9	2935	59	1087	51	21957	157	2888	178	14887	262	15871	259	141	15	1512	42	14878	125	1116	54	8060	113	200819	455	3390	85	28241	190
10	2833	57	916	51	21076	155	3029	177	15557	262	16118	256	119	15	1215	39	12792	116	1133	53	7374	109	182552	434	3141	82	27147	187
11	2745	57	959	50	20403	152	2993	176	15954	262	15574	256	88	13	1086	37	11089	108	1029	52	6357	104	165910	414	2703	78	24287	178
12	2587	55	970	49	21378	155	2710	110	15758	243	16031	253	97	16	1251	40	12937	117	1165	53	7330	110	189890	443	3145	83	27009	187
13	2664	55	956	48	21107	154	3130	111	15402	243	15686	252	97	0	1316	1	13505	4	1048	2	7767	3	196527	14	3049	3	26495	6
14	2354	53	952	49	19999	150	2442	116	15213	241	15006	249	103	15	979	35	9436	100	984	49	5590	97	153994	399	2372	75	20970	167
15	2442	53	959	48	20775	152	1832	106	15838	241	14678	250	89	13	767	31	7844	92	899	49	4764	93	155431	400	2226	72	18205	157
16	2757	57	1019	50	22567	158	2793	178	15192	263	15995	259	148	16	1657	45	15057	126	1036	53	8048	114	212731	468	3356	84	26401	184
17	2545	54	868	49	22024	157	2463	109	15066	241	15360	252	104	14	1149	37	11315	109	920	50	6452	105	180578	432	2751	78	23164	174
18	2572	55	896	49	22039	158	2652	174	16006	259	14942	253	139	16	1347	41	13500	120	1040	53	7224	109	198995	453	2988	80	24070	176
19	2845	57	894	49	21894	157	2761	109	15998	244	15596	253	69	13	1141	38	11852	112	1015	52	6492	106	185653	438	2646	78	22388	172
20	2500	2	927	2	24489	5	2877	3	15284	8	16194	8	140	16	1600	44	16000	130	1080	55	8104	116	244001	501	3239	83	25310	181
21	2646	55	950	50	24286	165	2849	159	15526	257	15938	257	136	16	1504	43	15172	126	1077	55	7854	115	241698	498	3003	82	25389	181
22	2201	2	881	2	24477	5	2612	3	15191	8	16029	8	124	16	1539	44	15873	129	1061	54	8043	115	240101	497	3258	82	25137	181
