"NEW_depth_cm"	"Zr_Al"	"Ti_Al"	"Fe_Al"	"Ca_Ti"	"Rb_Ti"	"Si_Al"	"Br_cps"	"Sr_Ca"	"age_ka"
1	1.36533226361458	1.16413387436494	3.45963722918853	4.1147614791394	-0.897048736003786	2.37020362995786	2086	-1.95022251686557	2.035
2	1.53636964050263	1.40872767486949	3.63312783758467	4.04894793752391	-0.829478736801246	2.44265644131227	2341	-1.95982095909404	2.261
3	1.4930681112679	1.25484630258222	3.57271463398771	4.15346226479009	-0.931758336092789	2.36740870122765	2231	-1.95531315254461	2.486
4	1.09189333841936	1.04669223148975	3.22590463622493	4.027364889044	-0.981874731413279	2.29485439514621	2378	-2.05020822495706	2.708
5	1.0572644808548	1.03132541702626	3.27695678779644	4.04379859617065	-1.10145724080034	2.30019179308821	2970	-2.04512504879537	2.928
6	0.669652352212194	0.861957141381268	3.14492687204949	4.12453894502031	-1.16296101446775	2.31834047240944	2919	-2.19668756571619	3.144
7	1.27058997471249	1.21468998800491	3.48662693249107	4.1006130523461	-1.00470772830317	2.34024470746944	2668	-2.0477062339209	3.356
8	0.763916251448152	0.904005044618834	3.00977358223865	4.05798533791621	-1.23348424574908	2.35107446004886	2866	-2.23209858391171	3.562
9	0.647130943273239	0.807396643635018	2.92734154500563	4.08157408346283	-1.13740831325329	2.28645033401181	2935	-2.21331800956799	3.762
10	0.913488455252588	0.949797143763998	3.10652246624459	4.06249384338761	-1.23228013486452	2.35407589873914	2833	-2.15890011159708	3.954
11	1.01377500735882	0.911861045782567	3.10744000625834	4.11708320536095	-1.03622647139301	2.32345240445933	2745	-2.09576352379365	4.139
12	0.773005403406836	0.92187065866763	3.07222691230968	4.10063106698492	-1.17627309763711	2.33614819145099	2587	-2.18408260128557	4.315
13	0.866436171648936	0.840216835102992	3.0023592030416	4.16598615844421	-1.15981103393685	2.32846315434145	2664	-2.23119508743184	4.485
14	0.91404101214014	0.884957117587106	3.06431648136546	4.17318015948019	-0.912923725326251	2.26575579799706	2354	-2.04123136831172	4.647
15	0.870676743866819	1.06547473046823	3.16696475924228	4.24599565038515	-0.842070456952052	2.32501738594898	2442	-2.01245156249699	4.803
16	0.522107548518614	0.705741050160534	2.76839314977834	4.14927866816244	-1.19192803436437	2.20683426089648	2757	-2.24353979457763	4.953
17	0.762488120271782	0.873072483075819	3.00370735049692	4.18419833545193	-1.15352804626422	2.28723728021888	2545	-2.10403004955406	5.097
18	0.677434174895389	0.796724369842344	2.88308635436675	4.19867543151013	-1.20441913327778	2.30480978801616	2572	-2.20046608757614	5.235
19	0.883687862068079	0.841143994812825	2.97662003014917	4.25083027423957	-1.08509856950139	2.34059155883138	2845	-2.13766671324997	5.369
20	0.586744455323675	0.705261010943457	2.7611959453113	4.32190768345627	-1.25106635360547	2.30258509299405	2500	-2.29894828650813	5.498
21	0.638839829988123	0.691483563473545	2.82618778382843	4.38807722395328	-1.15090508338874	2.311323398299	2646	-2.29778896032285	5.624
22	0.528983356557442	0.749980655323111	2.79320800944252	4.29994615796996	-1.30781116322581	2.33348669773336	2201	-2.28332576703504	5.745
23	0.616024635699563	0.694698771251364	2.7531858597475	4.30479392873323	-1.23493828022365	2.27761759790645	2046	-2.29596617284134	5.864
24	0.49456510289421	0.680220501236366	2.75214520861624	4.2738929042042	-1.27339801477336	2.25949549555348	2117	-2.29319405298253	5.979
25	0.45690215884948	0.676058058763652	2.70017370932073	4.33011875901749	-1.20952459148688	2.27053026391153	2142	-2.29586997401444	6.093
26	0.409713202856927	0.701097612007243	2.71072860331562	4.33408699562335	-1.18214540128141	2.22500316949518	2283	-2.29723261277769	6.204
27	0.560598062426154	0.651321451280297	2.72806944360276	4.3243377669669	-1.22384064405163	2.23606838138028	2046	-2.26665054396095	6.314
28	0.596784553719342	0.816369657710913	2.81397156927053	4.26084012700801	-1.37335916382515	2.29370992027656	2062	-2.26029888937668	6.422
29	0.566587273609486	0.740279951192645	2.79829347628762	4.34801709967422	-1.1829805193914	2.27429659783614	2185	-2.23075060258374	6.53
30	0.428634050829274	0.728417151555255	2.72890209316321	4.45192239722918	-1.13018812912328	2.28669338689651	1866	-2.2466716821149	6.638
31	0.498588897317554	0.663817331085695	2.7280196479834	4.57840623754759	-1.19257046440362	2.32463744002424	1844	-2.29675777369004	6.745
32	0.467839906800425	0.631103144069979	2.69416948588875	4.56320965550194	-1.220331770289	2.24612147078693	2004	-2.28498951701708	6.853
33	0.298990755166135	0.637612143699888	2.69023746917352	4.71201049929227	-1.16289322168766	2.25193292016373	1944	-2.27883414097541	6.962
34	0.789060557326362	0.842386959428456	2.85789325992679	4.70218102807568	-1.20191045727942	2.32099859000954	2012	-2.1784935317153	7.073
35	0.467214825550456	0.61844579527438	2.6898332910416	4.78335886825674	-1.16889209791621	2.24862735825585	1931	-2.24351061649572	7.185
36	0.592728432812898	0.768489279725556	2.72834632231554	4.70407191382564	-1.28296121564457	2.26824417400022	1913	-2.28436035322393	7.299
37	0.618216163092273	0.824738189182664	2.8434781897728	4.72313448354028	-1.26668978393614	2.29904943816174	1993	-2.19229934964168	7.416
38	0.417221305225825	0.908723368809247	2.80684821058759	4.73042006228836	-1.30645790280256	2.29244516545459	2044	-2.25317599881807	7.536
39	0.489516443469317	0.757069748490484	2.76845457264389	4.80263755428893	-1.33232443031036	2.29606139683192	1947	-2.28217227510981	7.659
40	0.77281181639533	0.811203179231535	2.82392040655382	4.98539586172152	-1.0674437258485	2.24298114176232	1960	-2.30572866239105	7.786
41	0.525287474405774	0.735542739527631	2.74609669393535	4.83841724155366	-1.28074518401447	2.23825652356835	2072	-2.25012135742941	7.917
42	0.355395856835628	0.70972483957976	2.72449890274226	4.84867751481947	-1.20461775758918	2.25279147568136	2100	-2.24034435259747	8.052
43	0.331940292878209	0.743302339881422	2.77215588871934	4.81245583111237	-1.21786630220145	2.26817179677007	2203	-2.21935871327266	8.191
44	0.290680575448038	0.769718867740603	2.69677567056018	4.87464863022712	-1.32558792967442	2.28062398169028	1987	-2.29342782325579	8.334
45	0.356234803086557	0.811785491483811	2.78169182743372	4.86994408113159	-1.19279950372781	2.29196787315317	2091	-2.24774236813025	8.48
46	0.331712211766858	0.801964319085682	2.75872927180529	5.05962261914961	-1.13016064640304	2.17638725056485	1774	-2.24842553078227	8.63
47	0.362674609015237	0.882816308984294	2.87411446090171	5.17063372427806	-1.17463672609472	2.25899378072499	1793	-2.17030004757921	8.782
