depth_cm	age_ka	st_dev
0	0	0
6.5	0.8	0
15.5	1.607142857	0
20.5	2.571428571	0
27.5	3.857142857	0
35	5.142857143	0
44	6.589285714	0
53.5	8.196428571	0
62.5	9.803571429	0
72	11.41071429	0
80.5	13.01785714	0
85	13.82142857	0
90.5	14.78571429	0
95.5	15.42857143	0
101.5	16.55357143	0
107.5	17.35714286	0
110	18	0
118.5	18.46753247	0
126.5	18.83116883	0
136	19.35064935	0
145	19.87012987	0
155	20.33766234	0
165	20.85714286	0
172	21.22077922	0
180	21.68831169	0
186.5	22	0
196	24.28571429	0
205.5	26.82539683	0
214.5	29.11111111	0
224.5	31.65079365	0
232	33.68253968	0
242	36.22222222	0
252	38.76190476	0
262	41.3015873	0
272	43.84126984	0
282	46.63492063	0
291	48.92063492	0
301.5	51.71428571	0
311.5	54	0
321.5	55.2987013	0
330.5	56.5974026	0
341	57.8961039	0
347	58.80519481	0
351	59.19480519	0
361	60.49350649	0
371	61.79220779	0
379	62.83116883	0
388	64	0
394	66	0
400	68	0
406.5	70	0
416	73.33333333	0
426.5	77	0
436	80	0
445.5	85.88235294	0
451.5	90	0
460.5	91.86046512	0
469.5	93.95348837	0
476	95.81395349	0
482	97.20930233	0
490	99.30232558	0
497	100.9302326	0
503	102.5581395	0
510	104.1860465	0
519	106.5116279	0
524	107.6744186	0
534	110	0
538	110.9230769	0
546	112.7692308	0
556	115.0769231	0
565	117.3846154	0
574	119.6923077	0
585	122	0
588	123.44	0
595	126.8	0
602	130.64	0
610	134	0
620	137.7209302	0
626.5	140.3255814	0
633.5	142.5581395	0
643	146.2790698	0
653	150	0
663	151.9512195	0
669	153.1219512	0
674	154.2926829	0
680	155.4634146	0
685.5	156.4390244	0
691	157.6097561	0
695.5	158.7804878	0
703	160.1463415	0
711	161.7073171	0
719.5	163.4634146	0
725	164.4390244	0
731.5	165.804878	0
738.5	167.1707317	0
743.5	168.1463415	0
748.5	169.3170732	0
758	171.0731707	0
766.5	172.8292683	0
771.5	173.804878	0
780.5	175.5609756	0
789.5	177.3170732	0
798	179.0731707	0
802.5	180.0487805	0
808.5	181.2195122	0
813	182	0
818.5	184.4	0
828	188	0
833	190.4	0
842	194	0
850.5	197.6	0
860	201.2	0
866.5	204	0
875	206.5932203	0
886	209.1864407	0
895.5	211.779661	0
903	214.0847458	0
911	216.3898305	0
919	218.6949153	0
927.5	221.2881356	0
934.5	223.3050847	0
942.5	225.8983051	0
947.5	227.3389831	0
957	229.9322034	0
961	231.0847458	0
967.5	233.1016949	0
975.5	235.6949153	0
982	236.559322	0
987	238	0
995	239.9459459	0
1002	241.4594595	0
1009	242.972973	0
1014	244.0540541	0
1021	245.5675676	0
1028.5	247.2972973	0
1035	248.8108108	0
1042.5	250.3243243	0
1051.5	252.2702703	0
1060.5	254.2162162	0
1068	255.9459459	0
1076	257.6756757	0
1086.5	259.6216216	0
1095	261.5675676	0
1102	263.0810811	0
1107.5	264.3783784	0
1115.5	266.1081081	0
1124	268.0540541	0
1133.5	270	0
1142.5	273	0
1151	276	0
1161	279.3333333	0
1169	282	0
1177	285	0
1186.5	288	0
1192.5	289.8591549	0
1200.5	292.3380282	0
1208	294.8169014	0
1216.5	297.6056338	0
1225.5	300.3943662	0
1234.5	303.1830986	0
1241.5	305.3521127	0
1249	307.8309859	0
1255.5	310	0
1265	313.9130435	0
1273.5	317.826087	0
1277.5	320	0
1287	325.625	0
1294	330	0
1303	331.3670886	0
1309	332.4303797	0
1317.5	333.6455696	0
1325	334.8607595	0
1330	335.6202532	0
1339	336.9873418	0
1347.5	338.3544304	0
1356.5	339.721519	0
1365.5	341.0886076	0
1372	342	0
1380	344.6896552	0
1389	347.3793103	0
1397.5	349.7701149	0
1404.5	351.862069	0
1410.5	353.6551724	0
1418.5	356.045977	0
1426.5	358.4367816	0
1434	360.8275862	0
1442.5	363.2183908	0
1450	365.6091954	0
1458	368	0
1466	370.2325581	0
1473.5	372.4651163	0
1482.5	374.6976744	0
1490.5	376.9302326	0
1498.5	379.1627907	0
1506.5	381.3953488	0
1514	383.63	0
1522	385.8604651	0
1530	388.0930233	0
1538	390.3255814	0
1546	392.5581395	0
1551	393.9534884	0
1560.5	397.8709677	0
1566.5	400.5806452	0
1571	402.1290323	0
1577.5	404.4516129	0
1582.5	406	0
1587	410.5	0
1592	415	0
1597	419.5	0
1601.5	424	0
1608.5	429	0
1615.5	434	0
1621.5	435.0746269	0
1626.5	436.6865672	0
1630.5	436.6865672	0
1641	438.6567164	0
1650	440.2686567	0
1660.5	442.238806	0
1670	444.0298507	0
1679.5	445.641791	0
1684	446.5373134	0
1689.5	447.6119403	0
1698.5	449.2238806	0
1703.5	450.119403	0
1708.5	451.0149254	0
1714	452.0895522	0
1719	452.8059701	0
1723	453.7014925	0
1728	454.5970149	0
1733	455.3362832	0
1739	456.3539823	0
1743.5	457.3716814	0
1748	458.1858407	0
1756	460.0176991	0
1763	461.2389381	0
1769	462.2566372	0
1777.5	464.0884956	0
1784	465.5132743	0
1791	466.9380531	0
1800	468.9734513	0
1806	470.1946903	0
1813.5	475	0
1863	491	0
1974.5	498	0
2107.5	524	0
2150.5	540	0
