ID	C14_age	cal_BP	error	reservoir	depth
ETH-84145	2441		25	187	0.85
ETH-84146	4302		26	187	10
ETH-84147	7429		26	187	40
ETH-84148	10182		29	187	60
ETH-84149	13749		35	187	90
ETH-88340	14660		39	187	94
ETH-88341	15653		42	187	104
ETH-88342	16163		43	187	114
ETH-88343	17741		49	187	124
ETH-88344	16242		43	187	134
ETH-88345	19583		58	187	144
ETH-88346	20841		64	187	154
ETH-88347	21798		69	187	164
ETH-88348	23668		84	187	174
ETH-88349	24590		92	187	184
ETH-88350	27393		123	187	201
ETH-88351	29621		156	187	211
ETH-88352	30581		174	187	221
ETH-88353	32508		217	187	231
ETH-88354	33201		234	187	241
ETH-84150	44139		540	187	297
ISO-51		66000	2000		400
ISO-54		77000	2000		426.5
ISO-56		84000	2000		445.5
ISO-57		87000	2000		451.5
ISO-60		96000	2000		476
ISO-68		110000	2000		534
ISO-74		123000	2000		585
ISO-76		130000	2000		595
ISO-78		140000	2000		610
ISO-89		156000	2000		691
ISO-98		167000	2000		748.5
ISO-107		185000	2000		813
ISO-111		192000	2000		842
ISO-119		217000	2000		911
ISO-122		223000	2000		934.5
ISO-124		230000	2000		947.5
ISO-130		240000	2000		987
ISO-133		252000	2000		1009
ISO-149		270000	2000		1133.5
ISO-151		276000	2000		1151
ISO-157		286000	2000		1200.5
ISO-158		294000	2000		1208
ISO-165		311000	2000		1265
ISO-169		330000	2000		1294
ISO-179		342000	2000		1372
ISO-187		358000	2000		1434
ISO-207		406000	2000		1582.5
ISO-211		424000	2000		1601.5
ISO-213		434000	2000		1615.5
ISO-214		440000	2000		1650
ISO-215		442000	2000		1670
ISO-235		460000	2000		1756
ISO-243		475000	2000		1813.5
ISO-244		491000	2000		1863
ISO-245		498000	2000		1974.5
ISO-246		524000	2000		2107.5
ISO-247		540000	2000		2150.5
