Depth [m]	Interpolated Bchron Age	Zr/Rb 	Ca/Ti	Rb/K
				
0.11242		5.190017513	0.153144258	
0.1234	366.04	6.287951244	0.152318575	
0.13442	372.21	5.135641694	0.209592177	16.48868668
0.14542	378.252	5.403610268	0.22047196	15.88501079
0.15642	384.852	5.093606307	0.069683272	
0.16741	390.705	5.231291475	0.081300851	
0.17842	396.21	5.696042005	0.120398449	237.8623448
0.18942	402.652	6.29927567	0.179284961	10.42495457
0.20042	409.294	4.949672145	0.216195949	8.157357274
0.21141	416.705	6.093419031	0.186009556	11.16760275
0.22241	422.205	5.061153199	0.230684584	4.83290034
0.23341	427.705	5.728131266	0.220923827	4.335117153
0.24441	433.646	6.74598896	0.22435609	3.186826542
0.25541	439.705	5.662771682	0.225161891	9.229348004
0.26642	445.852	5.189937673	0.211042773	8.496580546
0.27742	451.71	4.993651634	0.232356697	6.184104846
0.28841	458.046	4.990710388	0.237623317	4.290531343
0.29941	463.705	5.804507356	0.24628579	3.141689658
0.31041	470.246	5.479301963	0.245790284	3.048488364
0.32142	476.71	5.676162752	0.237438141	4.536340872
0.33242	482.21	5.84071593	0.234140263	4.067999317
0.34342	487.71	4.663117274	0.219210672	6.337861005
0.35442	493.652	5.701393725	0.246241299	2.585046507
0.36542	499.981	5.700794726	0.237505116	3.370384541
0.37641	505.3845	5.760683	0.233755582	5.124252709
0.38741	510.3345	5.790592629	0.242131203	2.987303943
0.39841	516.9665	5.055692789	0.242471697	3.156784538
0.40942	522.71	6.004345859	0.242465826	2.167703086
0.42041	528.246	5.129099874	0.242299717	2.914394156
0.43141	534.705	5.280465145	0.244818985	3.124870486
0.44242	540.21	4.38914349	0.25024884	3.095697827
0.45341	545.705	5.304886866	0.247199472	2.576650374
0.46441	550.764	6.812299943	0.246362564	2.249260059
0.47542	555.71	6.024494637	0.231228394	3.317970401
0.48642	560.568	6.433113906	0.263606944	2.182548239
0.49742	566.452	6.299443152	0.271894062	1.640950976
0.50842	572.631	7.996758313	0.26137078	1.350686623
0.51942	578.21	5.675267159	0.271102171	3.114232867
0.53042	584.252	6.219067666	0.274322101	1.717609548
0.54141	590.705	5.490823136	0.254924112	2.476552397
0.55241	596.205	4.663354224	0.275664661	2.134972099
0.56341	601.364	5.483288466	0.260018858	2.772888365
0.57442	606.21	6.553066485	0.25191067	3.373159889
0.5854	611.16	6.341690921	0.258804999	2.843140171
0.59641	616.205	7.688849805	0.231828175	3.040249885
0.60741	621.705	6.578551958	0.245311695	2.583009395
0.61842	627.21	5.779323094	0.236144098	3.582431423
0.62941	632.705	5.569042731	0.256175841	2.086377387
0.64041	639.7255	5.61962066	0.250834576	2.406201463
0.6514	645.7	5.834136211	0.263818572	2.818406575
0.66242	651.331	5.294507413	0.225645729	4.125176406
0.67342	657.039	5.749544731	0.253186789	2.764017665
0.68441	662.646	5.518718808	0.23949086	3.791326155
0.69542	668.71	6.044931178	0.273123414	2.207885548
0.70641	674.205	6.286234445	0.259824662	2.446946127
0.71742	678.968	5.14750224	0.292800581	1.747039799
0.72841	685.046	4.380716212	0.2841804	2.235554389
0.73942	690.71	4.768594614	0.296751104	1.868030323
0.75041	696.6435	4.956908553	0.300751703	1.488037053
0.76142	700.71	5.110038685	0.30807706	1.639711528
0.77241	705.964	5.238468506	0.280349312	1.752080935
0.78341	710.705	4.470736523	0.31207087	1.589000694
0.79441	716.205	4.517068475	0.295982037	1.605642298
0.80542	721.71	4.83289337	0.289820992	1.72273468
0.81642	726.568	6.271566342	0.292108001	1.288666343
0.82741	731.705	4.908486519	0.297644041	1.434256262
0.83841	737.205	5.297950877	0.313216647	1.259006641
0.84942	743.652	4.811698082	0.305738583	1.224173186
0.86041	748.205	4.897538988	0.306787106	1.497498494
0.87142	753.568	5.380051842	0.304953735	1.223336806
0.88241	757.964	4.808039026	0.306624183	1.361278829
0.89342	762.368	4.939957133	0.320894797	1.420586732
0.90442	767.431	4.750661979	0.316855712	1.317965343
0.91541	772.9345	5.697433852	0.322463612	1.115109052
0.92642	778.21	5.455740734	0.315919499	1.539346819
0.93742	782.968	4.629959058	0.300383637	1.901507751
0.94842	788.21	4.512768748	0.286074886	2.302703866
0.95941	794.646	4.433163602	0.314464808	1.727656302
0.97041	800.205	4.587725274	0.301094201	1.496103286
0.98142	805.639	4.687631442	0.31007356	1.586882831
0.99241	810.8255	4.371684914	0.337280162	1.700739834
1.00341	816.364	4.147709963	0.302655633	2.242204156
1.01442	821.21	4.620662182	0.306061471	1.880178482
1.02542	826.981	5.000691544	0.285487756	1.976051061
1.03641	832.705	3.94861865	0.251208623	3.605709917
1.04742	837.839	3.886400006	0.258029896	4.362546219
1.0584	843.2	4.636705222	0.260656889	3.169737974
1.06942	847.768	4.963327658	0.283170032	1.78758029
1.08041	853.1845	4.643102045	0.278869496	2.001031433
1.14045	882.7025	4.957182382	0.296276734	1.645036002
1.15145	887.725	4.824998417	0.277047221	2.388098942
1.16245	893.225	4.845746792	0.29732513	1.996432697
1.17344	898.548	4.76574057	0.296981286	1.930551107
1.18444	903.942	4.244819129	0.271026381	3.516401156
1.19544	909.72	4.945276284	0.288791239	5.074645725
1.20645	915.225	4.778383892	0.258807788	6.10315641
1.21744	920.72	5.113634237	0.288463928	2.096715888
1.22845	926.225	5.481633949	0.271328207	2.931077598
1.23945	930.78	4.201668992	0.278082923	2.941135558
1.25045	936.225	5.178323629	0.282787108	2.34576329
1.26144	941.72	5.19333653	0.275042922	2.392677374
1.27243	947.215	4.897267949	0.289377485	2.847349147
1.28344	952.72	4.942293652	0.24967817	3.654705738
1.29444	958.22	4.943008334	0.272075467	4.377257187
1.30544	963.176	4.853490203	0.276170026	2.555413955
1.31644	968.22	5.175173953	0.276120375	2.247407051
1.32744	972.976	4.485106	0.284316113	2.359322937
1.33844	977.798	4.596823732	0.278108965	2.77697127
1.34954	982.793	4.604201734	0.264368499	3.507728011
1.36044	989.198	4.125913769	0.268960846	2.843484781
1.37143	994.2865	4.738887438	0.286483752	2.518212378
1.38245	1000.1025	4.177749411	0.277207227	4.137448604
1.39344	1004.704	4.631652144	0.289848103	2.33694843
1.40444	1008.998	4.446058146	0.308779257	2.450639196
1.41543	1014.4865	4.311843688	0.273415066	2.597270531
1.42644	1020.22	4.559576	0.290342431	2.735165671
1.43747	1024.988	5.053152566	0.286955054	2.149066268
1.44845	1030.225	5.177065575	0.279604206	2.088299587
1.45944	1035.72	5.149971672	0.274006816	2.114204769
1.47044	1040.786	5.01104579	0.292976559	2.130141659
1.48143	1047.715	5.188813648	0.278481937	2.701006521
1.49243	1053.215	4.21630509	0.269549183	3.724331473
1.50344	1058.72	4.11439384	0.256166896	4.516015884
1.51444	1064.442	5.826190388	0.266187592	2.765506222
1.52544	1069.948	5.398966691	0.262417524	3.959133708
1.53646	1075.23	4.81887605	0.260840895	3.320048965
1.54747	1079.988	5.00302572	0.257817608	3.352752706
1.55845	1084.38	4.582736533	0.276905978	3.459456007
1.56944	1089.72	4.841416662	0.266622362	3.509921964
1.58044	1095.22	4.281237548	0.255974955	4.036502504
1.59144	1100.648	4.557887918	0.224468677	6.487007847
1.60244	1105.842	5.132735731	0.228951715	5.345710771
1.61344	1111.376	4.79129131	0.22749449	7.943167557
1.62444	1116.22	5.506172401	0.254200363	4.352298659
1.63544	1121.72	5.087345902	0.242442037	4.547740471
1.64648	1127.24	4.943298042	0.241955226	3.31940448
