MCD	Age (ka BP)	Terrigenous %
0.04	6.35	18.94
0.24	8.71	17.96
0.44	11.07	26.48
0.64	13.43	44.77
0.84	15.79	35.34
1.04	18.42	33.99
1.24	22.52	38.6
1.44	26.62	32.85
1.64	30.73	35.5
1.84	34.83	32.34
2.04	38.94	27.03
2.24	43.04	30.65
2.44	47.15	37.52
2.64	51.25	23.08
2.84	55.35	26.75
3.04	59.46	27.89
3.24	63.56	37.49
3.44	68.9	37.67
3.64	74.9	27.12
3.84	81.42	28.61
4.04	90.92	22.32
4.24	100.4	19.9
4.44	109.6	23.58
4.64	118.8	28.85
4.84	124	19.2
5.04	127.2	35.89
5.24	130.3	38.65
5.43	133.3	37.15
5.58	135.7	30.28
5.74	138.5	32.06
5.94	142	34.24
6.14	145.4	38.86
6.34	148.9	44.92
6.54	152.4	39.31
6.74	155.9	47.95
6.94	159.3	50.96
7.14	162.8	30.6
7.34	166.3	33.53
7.54	169.8	41.73
7.74	174.1	34.09
7.94	178.9	39.52
8.14	184.3	35.07
8.34	193.2	16.67
8.54	202	20.46
8.74	210.9	21.53
8.94	219	15.48
9.14	222.9	31.12
9.34	226.8	37.17
9.54	230.7	27.6
9.74	234.7	27.77
9.94	238.5	22.23
10.14	242.2	31.94
10.34	245.9	36.37
10.54	249.5	31.71
10.74	252.8	27.04
10.94	256.2	29.54
11.14	259.5	28.92
11.34	262.8	38.72
11.54	266.2	40.92
11.74	270.3	37.43
11.94	279.3	27.78
12.05	279.55	21.89
12.1	281.3	17.87
12.15	283.06	14.85
12.2	284.82	15.36
12.25	286.58	15.86
12.3	288.33	17.37
12.35	290.09	17.87
12.4	291.85	18.37
12.45	293.61	19.88
12.5	295.36	22.39
12.55	297.06	22.39
12.6	298.6	20.38
12.65	300.14	19.88
12.7	301.69	19.38
12.75	303.23	18.37
12.8	304.77	18.87
12.85	306.32	16.36
12.9	307.86	14.35
12.95	309.4	13.35
13	310.95	13.35
13.05	312.49	15.86
13.15	315.58	17.87
13.2	317.12	16.86
