/* DATA DESCRIPTION:							
Citation:	Herbert	" Timothy D; Peterson"	" Laura C; Lawrence"	" Kira T; Liu"	 Zhonghui (2017): Plio-Pleistocene tropical alkenone SST reconstructions for ODP Site 117-722. PANGAEA	 https://doi.org/10.1594/PANGAEA.874749	 
	In supplement to: Herbert	 TD et al. (2010): Tropical Ocean Temperatures Over the Past 3.5 Million Years. Science	 328(5985)	 1530-1534	 https://doi.org/10.1126/science.1185435		
Other version:	Plio-Pleistocene Tropical Alkenone SST Reconstructions (URI: https://www.ncdc.noaa.gov/paleo/study/10493)						
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)						
Coverage:	LATITUDE: 16.621800 * LONGITUDE: 59.795300						
	DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00						
	MINIMUM DEPTH	 sediment/rock: 0.040 m * MAXIMUM DEPTH	 sediment/rock: 101.520 m				
Event(s):	"117-722 * LATITUDE: 16.621800 * LONGITUDE: 59.795300 * DATE/TIME START: 1987-09-07T00:00:00 * DATE/TIME END: 1987-09-13T00:00:00 * ELEVATION: -2033.5 m * Penetration: 845.6 m * Recovery: 611.8 m * LOCATION: Arabian Sea * CAMPAIGN: Leg117 (URI: https://doi.org/10.2973/odp.proc.ir.117.1989) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * DEVICE: Composite Core (COMPCORE) * COMMENT: 88 cores; 845.1 m cored; 0 m drilled; 72.4% recovery"						
Parameter(s):	DEPTH	 sediment/rock [m] (Depth) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * COMMENT: mcd			
	AGE [ka BP] (Age) * GEOCODE * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)				
	Alkenone	 unsaturation index UK'37 (UK'37) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu)			
	Sea surface temperature	 annual mean [¡C] (SST (1-12)) * PI: Herbert	 Timothy D (https://orcid.org/0000-0003-1556-4290	 Timothy_Herbert@brown.edu) * METHOD: SST	 from UK'37		
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)						
Size:	3360 data points						
*/							
Depth [m]	Age [ka BP]	UK'37	SST (1-12) [¡C]		
0.04	7.11	0.938	26.45		
0.1	7.66	0.936	26.39		
0.14	8.04	0.94	26.5		
0.34	9.89	0.91	25.62		
0.39	10.36	0.91	25.62		
0.46	11	0.925	26.07		
0.52	11.56	0.897	25.23		
0.58	12.12	0.882	24.78		
0.64	12.68	0.854	23.98		
0.7	13.23	0.852	23.91		
0.76	13.79	0.857	24.07		
0.82	14.35	0.857	24.05		
0.88	14.9	0.863	24.24		
0.94	15.46	0.861	24.17		
0.99	15.92	0.859	24.12		
1.06	16.57	0.869	24.41		
1.13	17.22	0.878	24.68		
1.19	17.78	0.873	24.54		
1.24	18.24	0.865	24.28		
1.3	18.8	0.871	24.47		
1.36	20.35	0.863	24.23		
1.42	21.9	0.865	24.28		
1.54	24.99	0.867	24.35		
1.6	26.54	0.878	24.67		
1.66	27.64	0.889	25.01		
1.72	28.64	0.892	25.08		
1.78	29.65	0.891	25.05		
1.84	30.65	0.889	25.01		
1.9	31.66	0.887	24.93		
1.96	32.66	0.869	24.4		
2.02	33.65	0.875	24.59		
2.08	34.55	0.869	24.41		
2.14	35.45	0.863	24.24		
2.2	36.35	0.863	24.23		
2.26	37.4	0.861	24.17		
2.32	38.48	0.849	23.83		
2.38	39.56	0.844	23.67		
2.44	40.87	0.823	23.07		
2.5	42.4	0.841	23.6		
2.56	43.93	0.854	23.97		
2.62	45.47	0.859	24.12		
2.68	47.09	0.864	24.26		
2.74	48.71	0.86	24.14		
2.8	50.33	0.857	24.05		
2.86	51.85	0.86	24.16		
2.92	53.35	0.862	24.22		
3.04	56.38	0.855	24		
3.1	57.94	0.856	24.04		
3.16	59.5	0.852	23.91		
3.25	62	0.853	23.93		
3.28	62.9	0.862	24.21		
3.34	64.7	0.852	23.92		
3.4	66.5	0.869	24.41		
3.46	68.43	0.886	24.91		
3.52	70.38	0.903	25.42		
3.58	72.33	0.911	25.65		
3.64	74.43	0.915	25.75		
3.7	76.68	0.913	25.7		
3.76	78.93	0.933	26.29		
3.82	81.22	0.936	26.39		
3.88	83.71	0.923	25.99		
3.94	86.2	0.941	26.54		
3.99	88.27	0.942	26.56		
4.08	91.87	0.944	26.62		
4.12	93.45	0.937	26.41		
4.18	95.82	0.944	26.61		
4.24	98.76	0.945	26.65		
4.29	101.68	0.955	26.95		
4.36	105.78	0.934	26.33		
4.42	109.23	0.949	26.77		
