% Laskar et al. 2004, original file name "data_insolaout6HoGWM.txt".
%   Age (kyr)  Eccentricity      Obliquity     Precession
   -1300.000       0.004095      -0.002629       0.388753
   -1299.000       0.004943      -0.001003       0.389266
   -1298.000       0.005982       0.001413       0.390272
   -1297.000       0.007085       0.004216       0.391740
   -1296.000       0.008167       0.006922       0.393616
   -1295.000       0.009348       0.009157       0.395843
   -1294.000       0.010505       0.010406       0.398361
   -1293.000       0.011699       0.010389       0.401089
   -1292.000       0.012861       0.008967       0.403961
   -1291.000       0.014042       0.006113       0.406905
   -1290.000       0.015228       0.002021       0.409838
   -1289.000       0.016391      -0.002866       0.412695
   -1288.000       0.017474      -0.008153       0.415407
   -1287.000       0.018655      -0.013211       0.417904
   -1286.000       0.019693      -0.017485       0.420127
   -1285.000       0.020739      -0.020412       0.422024
   -1284.000       0.021784      -0.021628       0.423547
   -1283.000       0.022755      -0.020761       0.424664
   -1282.000       0.023708      -0.017823       0.425360
   -1281.000       0.024636      -0.012964       0.425621
   -1280.000       0.025562      -0.006387       0.425460
   -1279.000       0.026418       0.001184       0.424891
   -1278.000       0.027269       0.009241       0.423937
   -1277.000       0.028128       0.016918       0.422639
   -1276.000       0.028943       0.023468       0.421035
   -1275.000       0.029683       0.028156       0.419165
   -1274.000       0.030476       0.030468       0.417078
   -1273.000       0.031202       0.029965       0.414817
   -1272.000       0.031894       0.026570       0.412429
   -1271.000       0.032556       0.020492       0.409968
   -1270.000       0.033154       0.012139       0.407484
   -1269.000       0.033797       0.002296       0.405032
   -1268.000       0.034238      -0.008117       0.402670
   -1267.000       0.034759      -0.018088       0.400448
   -1266.000       0.035205      -0.026644       0.398413
   -1265.000       0.035512      -0.032684       0.396618
   -1264.000       0.035892      -0.035748       0.395091
   -1263.000       0.036135      -0.035240       0.393863
   -1262.000       0.036349      -0.031200       0.392946
   -1261.000       0.036555      -0.024056       0.392346
   -1260.000       0.036658      -0.014368       0.392055
   -1259.000       0.036790      -0.003164       0.392071
   -1258.000       0.036819       0.008404       0.392375
   -1257.000       0.036814       0.019133       0.392952
   -1256.000       0.036898       0.028032       0.393785
   -1255.000       0.036742       0.033963       0.394851
   -1254.000       0.036694       0.036590       0.396129
   -1253.000       0.036581       0.035542       0.397598
   -1252.000       0.036407       0.030944       0.399232
   -1251.000       0.036183       0.023368       0.401002
   -1250.000       0.035914       0.013663       0.402875
   -1249.000       0.035631       0.002667       0.404814
   -1248.000       0.035246      -0.008236       0.406779
   -1247.000       0.034811      -0.018144       0.408738
   -1246.000       0.034399      -0.026087       0.410655
   -1245.000       0.033857      -0.031210       0.412494
   -1244.000       0.033332      -0.033210       0.414229
   -1243.000       0.032764      -0.031925       0.415830
   -1242.000       0.032150      -0.027578       0.417275
   -1241.000       0.031558      -0.020695       0.418545
   -1240.000       0.030875      -0.012122       0.419619
   -1239.000       0.030276      -0.002639       0.420474
   -1238.000       0.029574       0.006741       0.421093
   -1237.000       0.028884       0.014974       0.421452
   -1236.000       0.028236       0.021478       0.421530
   -1235.000       0.027550       0.025497       0.421319
   -1234.000       0.026818       0.026759       0.420807
   -1233.000       0.026145       0.025304       0.419992
   -1232.000       0.025468       0.021335       0.418885
   -1231.000       0.024717       0.015248       0.417496
   -1230.000       0.024038       0.007997       0.415855
   -1229.000       0.023323       0.000145       0.413997
   -1228.000       0.022650      -0.007318       0.411961
   -1227.000       0.021941      -0.013558       0.409789
   -1226.000       0.021270      -0.018009       0.407537
   -1225.000       0.020692      -0.020214       0.405247
   -1224.000       0.020042      -0.019856       0.402977
   -1223.000       0.019520      -0.017202       0.400785
   -1222.000       0.019021      -0.012571       0.398722
   -1221.000       0.018616      -0.006453       0.396846
   -1220.000       0.018225       0.000183       0.395215
   -1219.000       0.017944       0.006622       0.393876
   -1218.000       0.017746       0.012139       0.392882
   -1217.000       0.017587       0.015851       0.392271
   -1216.000       0.017514       0.017469       0.392068
   -1215.000       0.017543       0.016773       0.392290
   -1214.000       0.017608       0.013786       0.392936
   -1213.000       0.017740       0.008961       0.393982
   -1212.000       0.017943       0.002958       0.395402
   -1211.000       0.018203      -0.003633       0.397150
   -1210.000       0.018525      -0.009869       0.399164
   -1209.000       0.018843      -0.014958       0.401387
   -1208.000       0.019298      -0.018438       0.403747
   -1207.000       0.019739      -0.019715       0.406171
   -1206.000       0.020208      -0.018646       0.408597
   -1205.000       0.020750      -0.015400       0.410953
   -1204.000       0.021348      -0.010227       0.413175
   -1203.000       0.021882      -0.003561       0.415210
   -1202.000       0.022535       0.003629       0.416997
   -1201.000       0.023160       0.010900       0.418492
   -1200.000       0.023826       0.017285       0.419660
   -1199.000       0.024476       0.022146       0.420465
   -1198.000       0.025117       0.024929       0.420885
   -1197.000       0.025852       0.025381       0.420913
   -1196.000       0.026431       0.023135       0.420543
   -1195.000       0.027108       0.018583       0.419793
   -1194.000       0.027754       0.011968       0.418687
   -1193.000       0.028347       0.003791       0.417261
   -1192.000       0.028971      -0.005014       0.415561
   -1191.000       0.029533      -0.013716       0.413642
   -1190.000       0.030156      -0.021516       0.411561
   -1189.000       0.030703      -0.027404       0.409385
   -1188.000       0.031233      -0.030848       0.407179
   -1187.000       0.031832      -0.031459       0.405002
   -1186.000       0.032326      -0.028900       0.402921
   -1185.000       0.032823      -0.023424       0.400991
   -1184.000       0.033368      -0.015559       0.399265
   -1183.000       0.033781      -0.005755       0.397794
   -1182.000       0.034264       0.004767       0.396618
   -1181.000       0.034666       0.015120       0.395768
   -1180.000       0.035082       0.024241       0.395269
   -1179.000       0.035479       0.031204       0.395126
   -1178.000       0.035742       0.035124       0.395340
   -1177.000       0.036158       0.035881       0.395895
   -1176.000       0.036374       0.033011       0.396765
   -1175.000       0.036601       0.026994       0.397910
   -1174.000       0.036844       0.018375       0.399292
   -1173.000       0.036988       0.007912       0.400851
   -1172.000       0.037110      -0.003347       0.402540
   -1171.000       0.037201      -0.014283       0.404308
   -1170.000       0.037240      -0.023936       0.406104
   -1169.000       0.037301      -0.031422       0.407883
   -1168.000       0.037222      -0.035890       0.409603
   -1167.000       0.037205      -0.037185       0.411225
   -1166.000       0.037117      -0.035062       0.412718
   -1165.000       0.036977      -0.029804       0.414055
   -1164.000       0.036830      -0.021917       0.415210
   -1163.000       0.036652      -0.012252       0.416164
   -1162.000       0.036399      -0.001461       0.416903
   -1161.000       0.036113       0.009124       0.417410
   -1160.000       0.035818       0.018792       0.417685
   -1159.000       0.035425       0.026647       0.417726
   -1158.000       0.034995       0.031894       0.417538
   -1157.000       0.034514       0.034239       0.417135
   -1156.000       0.034039       0.033538       0.416529
   -1155.000       0.033403       0.029799       0.415739
   -1154.000       0.032793       0.023576       0.414787
   -1153.000       0.032153       0.015539       0.413698
   -1152.000       0.031405       0.006352       0.412490
   -1151.000       0.030639      -0.002973       0.411188
   -1150.000       0.029828      -0.011515       0.409805
   -1149.000       0.028993      -0.018711       0.408359
   -1148.000       0.028089      -0.023677       0.406871
   -1147.000       0.027148      -0.026198       0.405358
   -1146.000       0.026193      -0.026171       0.403841
   -1145.000       0.025187      -0.023708       0.402348
   -1144.000       0.024098      -0.019163       0.400904
   -1143.000       0.023078      -0.013323       0.399542
   -1142.000       0.021927      -0.006609       0.398295
   -1141.000       0.020742      -0.000005       0.397197
   -1140.000       0.019614       0.005904       0.396276
   -1139.000       0.018313       0.010554       0.395560
   -1138.000       0.017081       0.013606       0.395067
   -1137.000       0.015725       0.014807       0.394811
   -1136.000       0.014387       0.014377       0.394804
   -1135.000       0.013011       0.012534       0.395053
   -1134.000       0.011523       0.009649       0.395559
   -1133.000       0.010095       0.006390       0.396320
   -1132.000       0.008643       0.003193       0.397336
   -1131.000       0.007054       0.000467       0.398594
   -1130.000       0.005588      -0.001310       0.400087
   -1129.000       0.004022      -0.002112       0.401796
   -1128.000       0.002483      -0.001931       0.403691
   -1127.000       0.000915      -0.000872       0.405742
   -1126.000       0.000661       0.000629       0.407900
   -1125.000       0.002193       0.002187       0.410117
   -1124.000       0.003802       0.003448       0.412339
   -1123.000       0.005329       0.003951       0.414507
   -1122.000       0.006896       0.003460       0.416561
   -1121.000       0.008496       0.001892       0.418447
   -1120.000       0.010044      -0.000764       0.420115
   -1119.000       0.011614      -0.004286       0.421515
   -1118.000       0.013203      -0.008225       0.422620
   -1117.000       0.014758      -0.012169       0.423395
   -1116.000       0.016361      -0.015618       0.423818
   -1115.000       0.017869      -0.017868       0.423877
   -1114.000       0.019484      -0.018700       0.423560
   -1113.000       0.021021      -0.017577       0.422864
   -1112.000       0.022505      -0.014472       0.421802
   -1111.000       0.024064      -0.009431       0.420380
   -1110.000       0.025545      -0.002790       0.418620
   -1109.000       0.026981       0.005006       0.416559
   -1108.000       0.028417       0.013156       0.414232
   -1107.000       0.029840       0.020926       0.411692
   -1106.000       0.031171       0.027452       0.409008
   -1105.000       0.032512       0.031883       0.406241
   -1104.000       0.033791       0.033608       0.403469
   -1103.000       0.035077       0.032219       0.400770
   -1102.000       0.036295       0.027558       0.398217
   -1101.000       0.037459       0.019829       0.395885
   -1100.000       0.038700       0.009696       0.393840
   -1099.000       0.039758      -0.002107       0.392135
   -1098.000       0.040888      -0.014375       0.390818
   -1097.000       0.041970      -0.025877       0.389926
   -1096.000       0.042963      -0.035506       0.389473
